"","order","family","species","common_name","Neritic_Oceanic","Bentho_Pelagic","feeding_strategy","trophic_level","IUCN","fisheries_interest","G.GI","method","N","n_fish_ingested","FO","binary"
"1","Anguilliformes","Congridae","Conger conger","European conger","N-O",NA,"BP",4.3,"NE","Y","G","1","7007","1",0.01,1
"2","Anguilliformes","Congridae","Conger verreauxi","Conger","N",NA,"BP",4.2,"LC","Y","G, GI","2","25","0",0,0
"3","Anguilliformes","Muraenesocidae","Cynoponticus savanna","Guayana pike-conger","N","B","BP",3.5,"LC","Y","GI","2","1","0",0,0
"4","Anguilliformes","Muraenesocidae","Muraenesox cinereus","Daggertooth pike conger","N-O",NA,"BP",4.4,"NE","Y","GI","3","18","18",100,1
"5","Anguilliformes","Muraenidae","Gymnothorax ocellatus","Ocellated moray","N","B","BP",4.1,"LC","Y","GI","2","1","0",0,0
"6","Anguilliformes","Nemichthyidae","Nemichthys scolopaceus","Slender snipe eel","O","P","P",3.5,"NE","N","GI","3","1","1",100,1
"7","Anguilliformes","Nettastomatidae","Nettastoma melanurum","Black fin sorcerer","O",NA,"BP",3.5,"NE","N","G, GI, I","1","11","1",9.09,1
"8","Anguilliformes","Ophichthidae","Ophichthus ophis","Spotted snake eel","N","B","BP",4.5,"LC","Y","GI","2","1","0",0,0
"9","Anguilliformes","Serrivomeridae","Serrivomer beanii","Stout sawpalate","O","P","PP",3.9,"LC","N","G ","3","14","13",92.86,1
"10","Atheriniformes","Atherinopsidae","Atherinopsis californiensis","Jack silverside","N","P","P",2.3,"LC","Y","GI","3","7","2",28.57,1
"11","Atheriniformes","Atherinopsidae","Menidia menidia  ","Atlantic silverside","N","P","P",3.2,"NE","Y","n/a",NA,"9","3",33.33,1
"12","Aulopiformes","Alepisauridae","Alepisaurus ferox","Long-snouted lancetfish","O","P","PP",4,"LC","BC","G ","1","192","47",24.48,1
"13","Aulopiformes","Paralepididae","Arctozenus risso","Spotted barracudina","O","P","P",3.2,"NE","N","GI","3","14","3",21.43,1
"14","Aulopiformes","Paralepididae","Sudis hyalina","n/a","O","P","PP",4.2,"NE","N","GI ","2","5","0",0,0
"15","Aulopiformes","Synodontidae","Harpadon nehereus","Bombay-duck","O","BP","BP",4.2,"NE","Y","GI","3","18","18",100,1
"16","Aulopiformes","Synodontidae","Saurida undosquamis","Brushtooth lizardfish","N",NA,"BP",4.5,"NE","Y","GI","3","99","55",55.56,1
"17","Batrachoidiformes","Batrachoididae","Batrachoides surinamensis","Pacuma toadfish","N","B","BP",3.7,"LC","Y","GI","2","1","0",0,0
"18","Beloniformes","Exocetidae","Cheilopogon pitcairnensis","n/a","N","P","P",3.9,"NE","Y","GI","3","21","2",9.52,1
"19","Beloniformes","Exocetidae","Cheilopogon rapanouiensis","Easter Island flyingfish","O","P","P",4,"LC","N","G, GI","2","43","7",16.28,1
"20","Beloniformes","Hemiramphidae","Hyporhamphus ihi","n/a","N","P","P",3.2,"NE","Y","GI","3","24","0",0,0
"21","Beloniformes","Hemiramphidae","Hyporhamphus intermedius","Asian pencil halfbeak","N","P","P",3.4,"NE","Y","GI","3","18","18",100,1
"22","Beloniformes","Hemiramphidae","Hyporhamphus melanochir","Southern sea garfish","N","P","O",2.7,"NE","Y","G, GI","2","66","0",0,0
"23","Beryciformes","Holocentridae","Myripristis amaena","Brick soldierfish","N",NA,"BP",3.6,"LC","Y","GI","1","10","0",0,0
"24","Beryciformes","Holocentridae","Neoniphon sammara","Sammara squirrelfish","N",NA,"BP",3.6,"LC","N","GI ","3","5","1",20,1
"25","Beryciformes","Holocentridae","Sargocentron spiniferum","Sabre squirrelfish","N",NA,"BP",3.6,"LC","N","GI","3","5","0",0,0
"26","Clupeiformes","Clupeidae","Alosa fallax","Twaite shad","N","P","PP",4,"LC","Y","G","2","1","1",100,1
"27","Clupeiformes","Clupeidae","Clupea harengus","Atlantic herring","N-O","P","P",3.4,"LC","Y","G","3","3","2",66.67,1
"28","Clupeiformes","Clupeidae","Clupea pallasii","Pacific herring","N","P","P",3.2,"NE","Y","GI","2","205","4",1.95,1
"29","Clupeiformes","Clupeidae","Hyperlophus vittatus","Sandy sprat","N","P","P",3.4,"NE","Y","G, GI","2","10","0",0,0
"30","Clupeiformes","Clupeidae","Opisthonema libertate","Pacific thread herring","N","P","P",2.9,"LC","Y","GI","2","80","2",2.5,1
"31","Clupeiformes","Clupeidae","Sardina pilchardus ","European pilchard","N","P","P",3.1,"NE","Y","GI ","3","99","19",19.19,1
"32","Clupeiformes","Clupeidae","Sardinops sagax","South American pilchard","N","P","P",2.8,"LC","Y","GI","2","7","0",0,0
"33","Clupeiformes","Clupeidae","Spratelloides gracilis","Silver-stripe r. herring","N","P","P",3.1,"LC","Y","GI","3","10","4",40,1
"34","Clupeiformes","Clupeidae","Sprattus sprattus","European sprat","N","P","P",3,"NE","Y","GI","3","141","1",0.71,1
"35","Clupeiformes","Clupeidae","Strangomera benticki","Araucanian herring","N","P","P",2.7,"NE","Y","GI","2","10","0",0,0
"36","Clupeiformes","Engraulidae","Cetengraulis mysticetus","Pacific anchoveta","N","P","P",2.5,"LC","Y","GI","2","40","1",2.5,1
"37","Clupeiformes","Engraulidae","Coilia nasus","Jap. grenadier anchovy","N","P","P",3,"NE","Y","GI","3","18","18",100,1
"38","Clupeiformes","Engraulidae","Encrasicholina heteroloba","Shorthead anchovy","N","P","P",3.3,"NE","Y","GI","3","10","4",40,1
"39","Clupeiformes","Engraulidae","Engraulis australis","Australian anchovy","N","P","P",3,"NE","Y","G, GI","2","10","0",0,0
"40","Clupeiformes","Engraulidae","Engraulis encrasicolus","European anchovy","N","P","P",3.1,"NE","Y","G","3","3","2",66.67,1
