,Order,Family,Species,Common name,Habitat,Feeding strategy,Trophic level,IUCN,Fisheries interest,G/GI,"Method 1,2,3",N,N of fish ingested,FO (%) ,PL (N/fish),Plastic type,Polymers,"Plastic size (mm)         < 1, 1-5, > 5",Life stage,Length (cm),Location,Region,Reference,Purpose of the study,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Osteichthyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Anguilliformes,Anguillidae,Anguilla anguilla,European eel,"N, D",S,3.6,CR,Y,GI,2,n/a,,yes,,fragment,PA-PP,<1,larva,,Atlantic North - English Channel,ATL N,"Steer et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Congridae,Conger conger,European conger,"N-O, D",BP,4.3,NE,Y,G,1,7007,1,0.01,,,,,,27,Atlantic North - Spain,ATL N,"Lopez-Lopez et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,GI ,2,44,0,0.00,,,,,,,Mediterranean - Eastern Ionian Sea,MED,"Anastasopoulou et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,Conger verreauxi,Conger,"N, D",BP,4.2,LC,Y,"G, GI",2,25,0,0.00,,,,,,,Pacific South - Australia,PAC S,"Cannon et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,Muraenesocidae,Cynoponticus savanna,Guayana pike-conger,"N, B",BP,3.5,LC,Y,GI,2,1,0,0.00,,,,,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,Muraenesox cinereus,Daggertooth pike conger,"N-O, D",BP,4.4,NE,Y,GI,3,18,18,100.00,3.5,"fibres, fragments",,,,,Pacific North - W - China Sea,PAC N,"Jabeen et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,Muraenidae,Gymnothorax ocellatus,Ocellated moray,"N, B",BP,4.1,LC,Y,GI,2,1,0,0.00,,,,,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,Nemichthyidae,Nemichthys scolopaceus,Slender snipe eel,"O, P",P,3.5,NE,N,GI,3,1,1,100.00,1,fibres,,1-5,,87,Atlantic North - Around UK,ATL N,"Lusher et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Nettastomatidae,Nettastoma melanurum,Black fin sorcerer,"O, D",BP,3.5,NE,N,"G, GI, I",1,11,1,9.09,,fibres,PA,1-5,,55.2-65.5,Mediterranean - West,MED,"Cartes et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,GI,2,1,0,0.00,,,,,,,Mediterranean - Eastern Ionian Sea,MED,"Anastasopoulou et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,Ophichthidae,Ophichthus cylindroideus,Dusky snake eel,"N, D",n/a,4,LC,n/a,GI,2,1,,no,,,,,,4,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,GI,2,1,0,0.00,,,,,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,Ophichthus ophis,Spotted snake eel,"N, B",BP,4.5,LC,Y,GI,2,1,0,0.00,,,,,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,Serrivomeridae,Serrivomer beanii,Stout sawpalate,"O, P",PP,3.9,LC,N,G ,3,14,13,92.86,2.4,fibres,"PE, MethCell",< 1,,49.7,Atlantic North - crossing W to E,ATL N,"Wieczorek etal., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Atheriniformes,Atherinopsidae,Atherinella blackburni,Beach silverside,"N, BP",n/a,3.4,LC,Y,GI,2,2,,no,,,,,,5,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,Atherinella brasiliensis,Brazilian silversides,"N, BP",P,3.2,LC,Y,GI,2,405,,yes,,,,,,6,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,Atherinopsis californiensis,Jack silverside,"N, P",P,2.3,LC,Y,GI,3,7,2,28.57,5,"fibres, fragm",,> 5,,,Pacific North  - East,PAC N,"Rochman et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,Menidia menidia  ,Atlantic silverside,"N, P",P,3.2,NE,Y,n/a,,9,3,33.33,,plastic pellets,PS,,larva,1.61,Atlantic North - New England ,ATL N,"Carpenter et al., 1972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,Odontesthes regia,Chilean silverside,"N, P",P,,LC,n/a,GI,2,9,1,11.11,1,fragment,"PE, PP",1-5,,22,Pacific South - S American coast,PAC S,"Ory et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Aulopiformes,Alepisauridae,Alepisaurus ferox,Long-snouted lancetfish,"O, P",PP,4,LC,BC,G ,1,192,47,24.48,1.7,fragments,,> 5,,100,Pacific North - central and East,PAC N,"Jantz et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,G,1,114,34,29.82,2.7,fragments,,> 5,various,92.2,Pacific North - central and East,PAC N,"Choy & Drazen, 2013",Diet study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,n/a,1,1,,yes,1,rope,,> 5,,77,Indian Ocean - Indonesia,IND,"Fujieda et al., 2008",Incidence report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,Paralepididae,Arctozenus risso,Spotted barracudina,"O, P",P,3.2,NE,N,GI,3,14,3,21.43,1.3,fibres,,1-5,,19,Atlantic North - Around UK,ATL N,"Lusher et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,Sudis hyalina,n/a,"O, P",PP,4.2,NE,N,GI ,2,5,0,0.00,,,,,,,Mediterranean - Eastern Ionian Sea,MED,"Anastasopoulou et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,Synodontidae,Harpadon nehereus,Bombay-duck,"O, BP",BP,4.2,NE,Y,GI,3,18,18,100.00,5.6,"fibres, fragments",,,,,Pacific North - W - China Sea,PAC N,"Jabeen et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,Saurida tumbil,Greater lizardfish,"N, BP",BP,4.4,LC,Y,GI,3,4,,yes,,fibre,,,,15.7,Indian Ocean - Persian Gulf,IND,"Abbasi et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,Saurida undosquamis,Brushtooth lizardfish,"N, D",BP,4.5,NE,Y,GI,3,99,55,55.56,2.2,fibres,,< 1,,,Mediterranean - East ,MED,Guven et al 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Batrachoidiformes,Batrachoididae,Batrachoides surinamensis,Pacuma toadfish,"N, B",BP,3.7,LC,Y,GI,2,1,0,0.00,,,,,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Beloniformes,Belonidae,Strongylura marina,Atlantic needlefish,"N, P",PP,3,LC,Y,GI,2,4,,no,,,,,,14,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,Strongylura timucu,Timucu,"N, P",PP,4.5,LC,Y,GI,2,2,,no,,,,,,32,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,Exocetidae,Cheilopogon pitcairnensis,n/a,"N, P",P,3.9,NE,Y,GI,3,21,2,9.52,1,film,,,A,27TL,Pacific South - Tahiti,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,Cheilopogon rapanouiensis,Easter Island flyingfish,"O, P",P,4,LC,N,"G, GI",2,43,7,16.28,1.6,Fragments,,,,30,Pacific South - Easter Island,PAC S,"Chagnon et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,Hemiramphidae,Hyporhamphus ihi,n/a,"N, P",P,3.2,NE,Y,GI,3,24,0,0.00,,,,,A,25TL,Pacific South - Auckland,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,Hyporhamphus intermedius,Asian pencil halfbeak,"N, P",P,3.4,NE,Y,GI,3,18,18,100.00,5.5,"fibres, fragments",,,,,Pacific North - W - China Sea,PAC N,"Jabeen et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,Hyporhamphus melanochir,Southern sea garfish,"N, P",O,2.7,NE,Y,"G, GI",2,66,0,0.00,,,,,,31.4,Pacific South - Australia,PAC S,"Cannon et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,Hyporhamphus roberti roberti,Slender halfbeak,"N, P",n/a,3,LC,Y,GI,2,35,,yes,,,,,,13-15,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,Hyporhamphus unifasciatus,Common halfbeak,"N, P",O,2,LC,Y,GI,2,209,,yes,,,,,,13,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,Scomberesocidae,Cololabis saira,Pacific saury,"O, P",P,3.7,NE,Y,G,2,54,,yes,3.2,fragments,,1-5,,,Pacific North -  Subtropical Gyre,PAC N,"Boerger et al., 2010",,The number of individuals for each species is given as % of all fish caught,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Beryciformes,Holocentridae,Myripristis amaena,Brick soldierfish,"N, D",BP,3.6,LC,Y,GI,1,10,0,0.00,,,,,,,Pacific South - Various Islands,PAC S,Forrest & Hindell 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,Neoniphon sammara,Sammara squirrelfish,"N, D",BP,3.6,LC,N,GI ,3,5,1,20.00,1,fibres,"PP, PE",1-5,,15.6,Indian Ocean - Red Sea,IND,"Baalkhuyur et al., 2018",,"Provided wrong info in the Tables, instead of the number of ind. With plastic they wrote no. of pieces of plastic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,Sargocentron spiniferum,Sabre squirrelfish,"N, D",BP,3.6,LC,N,GI,3,5,0,0.00,,,,,,30.7,Indian Ocean - Red Sea,IND,"Baalkhuyur et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Clupeiformes,Clupeidae,Alosa fallax,Twaite shad,"N, P",PP,4,LC,Y,G,2,1,1,100.00,1,fragments,"PP, PE, PEs",1-5,A,40,Atlantic North - Portugal,ATL N,"Neves et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,Brevoortia patronus,Gulf menhaden,"N, P",P,2.2,LC,Y,n/a, ,n/a,,yes,,,,,,,Atlantic North - Gulf of Mexico,ATL N,"Hoss & Settle, 1990, Govoni (pers.comm)",Diet study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
