order,family,species,common_name,habitat,feeding_strategy,trophic_level,IUCN,fisheries_interest,G/GI,method,N,n_fish_ingested,FO
Osteichthyes,,,,,,,,,,,,,
Anguilliformes,Anguillidae,Anguilla anguilla,European eel,"N, D",S,3.6,CR,Y,GI,2,n/a,,yes
Anguilliformes,Congridae,Conger conger,European conger,"N-O, D",BP,4.3,NE,Y,G,1,7007,1,0.01
Anguilliformes,Congridae,,,,,,,,GI ,2,44,0,0.00
Anguilliformes,Congridae,Conger verreauxi,Conger,"N, D",BP,4.2,LC,Y,"G, GI",2,25,0,0.00
Anguilliformes,Muraenesocidae,Cynoponticus savanna,Guayana pike-conger,"N, B",BP,3.5,LC,Y,GI,2,1,0,0.00
Anguilliformes,Muraenesocidae,Muraenesox cinereus,Daggertooth pike conger,"N-O, D",BP,4.4,NE,Y,GI,3,18,18,100.00
Anguilliformes,Muraenidae,Gymnothorax ocellatus,Ocellated moray,"N, B",BP,4.1,LC,Y,GI,2,1,0,0.00
Anguilliformes,Nemichthyidae,Nemichthys scolopaceus,Slender snipe eel,"O, P",P,3.5,NE,N,GI,3,1,1,100.00
Anguilliformes,Nettastomatidae,Nettastoma melanurum,Black fin sorcerer,"O, D",BP,3.5,NE,N,"G, GI, I",1,11,1,9.09
Anguilliformes,Nettastomatidae,,,,,,,,GI,2,1,0,0.00
Anguilliformes,Ophichthidae,Ophichthus cylindroideus,Dusky snake eel,"N, D",n/a,4,LC,n/a,GI,2,1,,no
Anguilliformes,Ophichthidae,,,,,,,,GI,2,1,0,0.00
Anguilliformes,Ophichthidae,Ophichthus ophis,Spotted snake eel,"N, B",BP,4.5,LC,Y,GI,2,1,0,0.00
Anguilliformes,Serrivomeridae,Serrivomer beanii,Stout sawpalate,"O, P",PP,3.9,LC,N,G ,3,14,13,92.86
Anguilliformes,Serrivomeridae,,,,,,,,,,,,25.16
Atheriniformes,Atherinopsidae,Atherinella blackburni,Beach silverside,"N, BP",n/a,3.4,LC,Y,GI,2,2,,no
Atheriniformes,Atherinopsidae,Atherinella brasiliensis,Brazilian silversides,"N, BP",P,3.2,LC,Y,GI,2,405,,yes
Atheriniformes,Atherinopsidae,Atherinopsis californiensis,Jack silverside,"N, P",P,2.3,LC,Y,GI,3,7,2,28.57
Atheriniformes,Atherinopsidae,Menidia menidia  ,Atlantic silverside,"N, P",P,3.2,NE,Y,n/a,,9,3,33.33
Atheriniformes,Atherinopsidae,Odontesthes regia,Chilean silverside,"N, P",P,,LC,n/a,GI,2,9,1,11.11
Aulopiformes,Alepisauridae,Alepisaurus ferox,Long-snouted lancetfish,"O, P",PP,4,LC,BC,G ,1,192,47,24.48
Aulopiformes,Alepisauridae,,,,,,,,G,1,114,34,29.82
Aulopiformes,Alepisauridae,,,,,,,,n/a,1,1,,yes
Aulopiformes,Paralepididae,Arctozenus risso,Spotted barracudina,"O, P",P,3.2,NE,N,GI,3,14,3,21.43
Aulopiformes,Paralepididae,Sudis hyalina,n/a,"O, P",PP,4.2,NE,N,GI ,2,5,0,0.00
Aulopiformes,Synodontidae,Harpadon nehereus,Bombay-duck,"O, BP",BP,4.2,NE,Y,GI,3,18,18,100.00
Aulopiformes,Synodontidae,Saurida tumbil,Greater lizardfish,"N, BP",BP,4.4,LC,Y,GI,3,4,,yes
Aulopiformes,Synodontidae,Saurida undosquamis,Brushtooth lizardfish,"N, D",BP,4.5,NE,Y,GI,3,99,55,55.56
Batrachoidiformes,Batrachoididae,Batrachoides surinamensis,Pacuma toadfish,"N, B",BP,3.7,LC,Y,GI,2,1,0,0.00
Beloniformes,Belonidae,Strongylura marina,Atlantic needlefish,"N, P",PP,3,LC,Y,GI,2,4,,no
Beloniformes,Belonidae,Strongylura timucu,Timucu,"N, P",PP,4.5,LC,Y,GI,2,2,,no
Beloniformes,Exocetidae,Cheilopogon pitcairnensis,n/a,"N, P",P,3.9,NE,Y,GI,3,21,2,9.52
Beloniformes,Exocetidae,Cheilopogon rapanouiensis,Easter Island flyingfish,"O, P",P,4,LC,N,"G, GI",2,43,7,16.28
Beloniformes,Hemiramphidae,Hyporhamphus ihi,n/a,"N, P",P,3.2,NE,Y,GI,3,24,0,0.00
Beloniformes,Hemiramphidae,Hyporhamphus intermedius,Asian pencil halfbeak,"N, P",P,3.4,NE,Y,GI,3,18,18,100.00
Beloniformes,Hemiramphidae,Hyporhamphus melanochir,Southern sea garfish,"N, P",O,2.7,NE,Y,"G, GI",2,66,0,0.00
Beloniformes,Hemiramphidae,Hyporhamphus roberti roberti,Slender halfbeak,"N, P",n/a,3,LC,Y,GI,2,35,,yes
Beloniformes,Hemiramphidae,Hyporhamphus unifasciatus,Common halfbeak,"N, P",O,2,LC,Y,GI,2,209,,yes
Beloniformes,Scomberesocidae,Cololabis saira,Pacific saury,"O, P",P,3.7,NE,Y,G,2,54,,yes
Beryciformes,Holocentridae,Myripristis amaena,Brick soldierfish,"N, D",BP,3.6,LC,Y,GI,1,10,0,0.00
Beryciformes,Holocentridae,Neoniphon sammara,Sammara squirrelfish,"N, D",BP,3.6,LC,N,GI ,3,5,1,20.00
Beryciformes,Holocentridae,Sargocentron spiniferum,Sabre squirrelfish,"N, D",BP,3.6,LC,N,GI,3,5,0,0.00
Clupeiformes,Clupeidae,Alosa fallax,Twaite shad,"N, P",PP,4,LC,Y,G,2,1,1,100.00
Clupeiformes,Clupeidae,Brevoortia patronus,Gulf menhaden,"N, P",P,2.2,LC,Y,n/a, ,n/a,,yes
Clupeiformes,Clupeidae,Clupea harengus,Atlantic herring,"N-O, P",P,3.4,LC,Y,G,3,3,2,66.67
Clupeiformes,Clupeidae,,,,,,,,n/a,,2,2,100.00
Clupeiformes,Clupeidae,,,,,,,,GI,3,164,3,1.83
Clupeiformes,Clupeidae,,,,,,,,GI,3,566,11,1.94
Clupeiformes,Clupeidae,,,,,,,,GI,3,131,0,0.00
Clupeiformes,Clupeidae,,,,,,,,GI,2,33,0,0.00
Clupeiformes,Clupeidae,Clupea pallasii,Pacific herring,"N, P",P,3.2,NE,Y,GI,2,205,4,1.95
Clupeiformes,Clupeidae,Hyperlophus vittatus,Sandy sprat,"N, P",P,3.4,NE,Y,"G, GI",2,10,0,0.00
Clupeiformes,Clupeidae,Lile piquitinga,Atlantic piquitinga,"N, P",n/a,3.1,LC,Y,GI,2,2,,no
Clupeiformes,Clupeidae,Opisthonema libertate,Pacific thread herring,"N, P",P,2.9,LC,Y,GI,2,80,2,2.50
Clupeiformes,Clupeidae,Opisthonema oglinum,Atlantic thread herring,"N, P",P,4.5 ??,LC,Y,GI,2,56,,yes
Clupeiformes,Clupeidae,Rhinosardinia bahiensis,Bahia sprat,"N, P",n/a,3.1,NE,Y,GI,2,179,,yes
Clupeiformes,Clupeidae,Sardina pilchardus ,European pilchard,"N, P",P,3.1,NE,Y,GI ,3,99,19,19.19
Clupeiformes,Clupeidae,,,,,,,,GI,3,7,4,57.14
Clupeiformes,Clupeidae,,,,,,,,G,3,3,2,66.67
Clupeiformes,Clupeidae,,,,,,,,GI,2,105,16,15.24
Clupeiformes,Clupeidae,,,,,,,,G,2,12,0,0.00
Clupeiformes,Clupeidae,,,,,,,,GI ,2,139,27,19.42
Clupeiformes,Clupeidae,,,,,,,,GI,3,66,28,42.42
Clupeiformes,Clupeidae,,,,,,,,GI,3,36,17,47.22
Clupeiformes,Clupeidae,Sardinops sagax,South American pilchard,"N, P",P,2.8,LC,Y,GI,2,7,0,0.00
Clupeiformes,Clupeidae,Spratelloides gracilis,Silver-stripe r. herring,"N, P",P,3.1,LC,Y,GI,3,10,4,40.00
Clupeiformes,Clupeidae,Sprattus sprattus,European sprat,"N, P",P,3,NE,Y,GI,3,141,1,0.71
Clupeiformes,Clupeidae,,,,,,,,GI,3,154,n/a,0.90
Clupeiformes,Clupeidae,Strangomera benticki,Araucanian herring,"N, P",P,2.7,NE,Y,GI,2,10,0,0.00
Clupeiformes,Engraulidae,Anchoa januaria,Rio anchovy,"N,P",P,2.9,NE,N,GI,2,194,,yes
Clupeiformes,Engraulidae,Anchoa marinii,Marini's anchovy,"N, P",P,3.4,NE,n/a,GI,2,22,,yes
Clupeiformes,Engraulidae,Anchoa tricolor,Piquitinga anchovy,"N,P",P,3.4,NE,Y,GI,2,6,,no
Clupeiformes,Engraulidae,Anchovia clupeoides,Zabaleta anchovy,"N, P",P,3.4,LC,Y,GI,2,10,,yes
Clupeiformes,Engraulidae,Cetengraulis edentulus,Atlantic anchoveta,"N, P",P,2.1,LC,Y,GI,2,5,,no
Clupeiformes,Engraulidae,Cetengraulis mysticetus,Pacific anchoveta,"N, P",P,2.5,LC,Y,GI,2,40,1,2.50
Clupeiformes,Engraulidae,Coilia nasus,Jap. grenadier anchovy,"N, P",P,3,NE,Y,GI,3,18,18,100.00
Clupeiformes,Engraulidae,Encrasicholina heteroloba,Shorthead anchovy,"N, P",P,3.3,NE,Y,GI,3,10,4,40.00
Clupeiformes,Engraulidae,Engraulis australis,Australian anchovy,"N, P",P,3,NE,Y,"G, GI",2,10,0,0.00
Clupeiformes,Engraulidae,Engraulis encrasicolus,European anchovy,"N, P",P,3.1,NE,Y,G,3,3,2,66.67
Clupeiformes,Engraulidae,,,,,,,,GI,2,105,15,14.29
Clupeiformes,Engraulidae,Engraulis japonicus,Japanese anchovy,"N, P",P,3.1,NE,Y,GI,3,64,49,76.56
Clupeiformes,Engraulidae,Engraulis mordax,Californian anchovy,"N, P",P,3.1,LC,Y,GI,3,10,3,30.00
Clupeiformes,Engraulidae,Engraulis ringens,Anchoveta,"N, P",P,2.9,LC,Y,GI,2,116,1,0.86
Clupeiformes,Engraulidae,Lycengraulis grossidens,Atl. sabretooth anchovy,"N, P",PP,3.7,LC,Y,GI,2,146,,yes
Cyprinodontiformes,Poeciliidae,Poecilia vivipara,n/a,"N, BP",P,2.3,NE,N,GI,2,75,,yes
Elopiformes,Elopidae,Elops saurus,Ladyfish,"N, D",BP,3.5,LC,Y,GI,2,1,,no
Gadiformes,Gadidae,Boreogadus saida,Polar cod,"N-O, BP",P,3.1,NE,Y,GI,3,85,15,17.65
Gadiformes,Gadidae,,,,,,,,G ,2,72,2,2.78
Gadiformes,Gadidae,Gadus morhua,Atlantic cod,"N, BP",BP,4.1,VU,Y,GI,3,80,10,12.50
Gadiformes,Gadidae,,,,,,,,G,2,302,9,2.98
Gadiformes,Gadidae,,,,,,,,"G, GI",1,205,5,2.44
Gadiformes,Gadidae,,,,,,,,GI,2,81,1,1.23
Gadiformes,Gadidae,,,,,,,,n/a,,n/a,,yes
Gadiformes,Gadidae,,,,,,,,n/a,,1,,yes
Gadiformes,Gadidae,Melanogrammus aeglefinus,Haddock,"N-O, D",BP,4,VU,Y,GI,3,97,6,6.19
Gadiformes,Gadidae,Merlangius merlangus,Whiting,"N-O, D",BP,4.4,NE,Y,GI,3,105,6,5.71
Gadiformes,Gadidae,,,,,,,,GI,2,50,16,32.00
Gadiformes,Gadidae,,,,,,,,GI,2,n/a,,yes
Gadiformes,Gadidae,,,,,,,,GI,3,28,0,0.00
Gadiformes,Gadidae,Micromesistius poutassou,Blue whiting,"N-O, P",BP,4.1,NE,Y,GI,2,27,14,51.85
Gadiformes,Gadidae,,,,,,,,GI,2,20,0,0.00
Gadiformes,Gadidae,,,,,,,,GI,2,3,0,0.00
Gadiformes,Gadidae,,,,,,,,G,1,10575,2,0.02
Gadiformes,Gadidae,Pollachius pollachius,Pollack,"N-O, BP",BP,4.3,NE,Y,GI,2,5,0,0.00
Gadiformes,Gadidae,,,,,,,,n/a,,n/a,,yes
Gadiformes,Gadidae,Pollachius virens,Saithe,"N-O, D",BP,4.3,NE,Y,n/a,,1,1,100.00
Gadiformes,Gadidae,,,,,,,,n/a,,n/a,,yes
Gadiformes,Gadidae,Trisopterus luscus,pout whiting,"N-O, BP",BP,3.7,NE,Y,G,1,3076,1,0.03
Gadiformes,Gadidae,,,,,,,,n/a,,n/a,,yes
Gadiformes,Gadidae,,,,,,,,G,2,1,0,0.00
